Country,ConnectionCount,CountryCode
India,4100,IND
USA,2081,USA
Netherlands,122,NLD
United Kingdom,780,GBR
France,50,FRA
Canada,119,CAN
Belgium ,50,BEL
Germany,195,DEU
Switzerland,11,CHE
Spain ,15,ESP
Australia,122,AUS
New Zealand ,89,NZL
South Africa,21,ZAF
Japan ,14,JPN
China,88,CHN
Sweden,15,SWE
Austria,145,AUT
Norway,11,NOR
Pakistan,50,PAK
Singapore ,115,SGP
