Sent At,Direction
"9/13/20, 12:49 AM",OUTGOING
"9/13/20, 12:43 AM",OUTGOING
"9/12/20, 8:43 PM",OUTGOING
"9/12/20, 8:20 PM",OUTGOING
"9/11/20, 10:12 PM",OUTGOING
"9/11/20, 4:57 PM",OUTGOING
"9/11/20, 4:06 PM",OUTGOING
"9/11/20, 3:39 AM",OUTGOING
"9/10/20, 7:41 PM",OUTGOING
"9/10/20, 3:32 PM",OUTGOING
"9/10/20, 12:14 PM",OUTGOING
"9/10/20, 12:14 PM",OUTGOING
"9/10/20, 12:14 PM",OUTGOING
"9/10/20, 12:15 PM",OUTGOING
"9/10/20, 12:15 PM",OUTGOING
"9/10/20, 12:14 PM",OUTGOING
"9/10/20, 12:14 PM",OUTGOING
"9/10/20, 12:14 PM",OUTGOING
"9/10/20, 12:14 PM",OUTGOING
"9/10/20, 12:14 PM",OUTGOING
"9/10/20, 12:14 PM",OUTGOING
"9/10/20, 12:14 PM",OUTGOING
"9/10/20, 12:14 PM",OUTGOING
"9/10/20, 12:14 PM",OUTGOING
"9/10/20, 12:14 PM",OUTGOING
"9/10/20, 10:20 AM",OUTGOING
"9/9/20, 11:29 PM",OUTGOING
"9/9/20, 11:55 AM",OUTGOING
"9/9/20, 11:29 AM",OUTGOING
"9/8/20, 10:34 PM",OUTGOING
"9/8/20, 10:34 PM",OUTGOING
"9/8/20, 10:33 PM",OUTGOING
"9/8/20, 10:31 PM",OUTGOING
"9/8/20, 10:30 PM",OUTGOING
"9/8/20, 4:47 PM",OUTGOING
"9/8/20, 4:45 PM",OUTGOING
"9/8/20, 4:45 PM",OUTGOING
"9/8/20, 4:44 PM",OUTGOING
"9/8/20, 4:44 PM",OUTGOING
"9/8/20, 3:48 PM",OUTGOING
"9/8/20, 3:47 PM",OUTGOING
"9/8/20, 3:45 PM",OUTGOING
"9/8/20, 3:45 PM",OUTGOING
"9/8/20, 3:45 PM",OUTGOING
"9/8/20, 3:45 PM",OUTGOING
"9/8/20, 2:11 PM",OUTGOING
"9/7/20, 5:18 PM",OUTGOING
"9/7/20, 1:27 PM",OUTGOING
"9/7/20, 11:06 AM",OUTGOING
"9/4/20, 2:09 PM",OUTGOING
"9/4/20, 2:09 PM",OUTGOING
"9/4/20, 2:09 PM",OUTGOING
"9/4/20, 2:09 PM",OUTGOING
"9/4/20, 2:08 PM",OUTGOING
"9/4/20, 2:00 PM",OUTGOING
"9/4/20, 1:57 PM",OUTGOING
"9/4/20, 1:50 PM",OUTGOING
"9/4/20, 1:50 PM",OUTGOING
"9/4/20, 1:50 PM",OUTGOING
"9/4/20, 1:24 PM",OUTGOING
"9/3/20, 11:43 AM",OUTGOING
"9/3/20, 11:43 AM",OUTGOING
"9/3/20, 11:02 AM",OUTGOING
"9/3/20, 11:01 AM",OUTGOING
"9/3/20, 10:58 AM",OUTGOING
"9/1/20, 10:12 PM",OUTGOING
"9/1/20, 9:53 PM",OUTGOING
"8/31/20, 5:14 AM",OUTGOING
"8/30/20, 2:13 PM",OUTGOING
"8/30/20, 2:13 PM",OUTGOING
"8/30/20, 2:12 PM",OUTGOING
"8/30/20, 2:09 PM",OUTGOING
"8/28/20, 8:48 AM",OUTGOING
"8/27/20, 1:26 PM",OUTGOING
"8/27/20, 1:25 PM",OUTGOING
"8/27/20, 1:26 PM",OUTGOING
"8/27/20, 1:25 PM",OUTGOING
"8/27/20, 1:26 PM",OUTGOING
"8/27/20, 1:26 PM",OUTGOING
"8/27/20, 1:26 PM",OUTGOING
"8/27/20, 1:25 PM",OUTGOING
"8/27/20, 1:25 PM",OUTGOING
"8/27/20, 1:26 PM",OUTGOING
"8/27/20, 1:26 PM",OUTGOING
"8/27/20, 1:25 PM",OUTGOING
"8/27/20, 1:26 PM",OUTGOING
"8/27/20, 1:25 PM",OUTGOING
"8/27/20, 1:26 PM",OUTGOING
"8/27/20, 1:25 PM",OUTGOING
"8/27/20, 1:25 PM",OUTGOING
"8/27/20, 1:25 PM",OUTGOING
"8/27/20, 1:25 PM",OUTGOING
"8/27/20, 1:25 PM",OUTGOING
"8/27/20, 1:24 PM",OUTGOING
"8/27/20, 1:24 PM",OUTGOING
"8/27/20, 1:07 AM",OUTGOING
"8/26/20, 12:11 PM",OUTGOING
"8/25/20, 11:24 PM",OUTGOING
